t,evidence
318.0,3.89865284947839
318.4,4.678383419374068
320.4,-0.7697622748559283
324.4,0.19867075311382565
324.8,0.3973415062276513
325.2,0.596012259341477
328.4,0.779730569895678
328.8,1.559461139791356
329.2,2.3391917096870345
329.6,3.118922279582712
330.0,3.89865284947839
332.4,0.39235735870777644
332.8,0.7847147174155529
333.2,1.1770720761233295
333.6,1.5694294348311058
334.0,1.9617867935388822
334.4,2.3541441522466586
336.4,0.004984147519874838
336.8,0.009968295039749676
337.2,0.014952442559624515
337.6,0.019936590079499352
338.0,0.024920737599374188
340.4,0.5860439643017272
340.8,1.1720879286034545
341.2,1.758131892905182
344.4,-0.3823890636680267
344.8,-0.7647781273360534
345.2,-1.1471671910040804
345.6,-1.5295562546721069
346.0,-1.9119453183401336
346.4,-2.2943343820081603
348.4,0.004984147519874838
348.8,0.009968295039749676
349.2,0.014952442559624515
352.4,-0.7697622748559283
352.8,-1.5395245497118566
356.4,-0.3823890636680267
356.8,-0.7647781273360534
360.4,-0.18870245807407598
360.8,-0.37740491614815197
361.2,-0.566107374222228
361.6,-0.7548098322963039
362.0,-0.9435122903703799
364.4,-0.5760756692619776
364.8,-1.1521513385239552
365.2,-1.728227007785933
368.4,-0.5760756692619776
