t_loglikelihood,t_logposterior_stimulus,t_logposterior,t_RPE_pos,t_RPE_neg,loglikelihood,logposterior_stimulus,logposterior,RPE_pos,RPE_neg
145.62320991698653,145.62320991698653,146.08797216694802,0.0,146.08797216694802,-21.24987092322168,-6.527016083168746e-8,-3.551611982288705e-8,0.0,-5.014685774882085e-5
154.256024042028,154.256024042028,155.02598554210272,0.0,155.02598554210272,-8.4793300253696,-2.8634872251132037e-11,-1.7001511309899797e-11,0.0,-9.758851663804936e-5
162.48306308395695,162.48306308395695,163.22826441691723,163.22826441691723,0.0,-9.762565431762775,-1.1260503640642128e-10,-1.6205881081532425e-10,0.0004034180224768169,0.0
171.20263837499078,171.20263837499078,171.87699770799372,171.87699770799372,0.0,-15.052096475839381,-3.3885818595535966e-9,-3.374044155179945e-9,0.0003077619577135218,0.0
179.0035920420196,179.0035920420196,179.74801954207942,0.0,179.74801954207942,-8.009194812089476,-3.172040408117027e-11,-1.2920331471377722e-10,0.0,-0.0005423031777388303
184.8969041670207,184.8969041670207,185.7480158340186,0.0,185.7480158340186,-15.606489522657753,-6.9630559096367506e-9,-1.2495043222315871e-8,0.0,-0.00044594037223426053
193.2966067920206,193.2966067920206,194.27524170803372,194.27524170803372,0.0,-19.898157690816543,-7.831551229742217e-8,-5.461012300145285e-7,0.0005738607383495714,0.0
201.94265429198276,201.94265429198276,202.74003641691525,202.74003641691525,0.0,-18.65885836606255,-3.646612256602566e-8,-3.238801582483575e-8,0.0002701744686746513,0.0
209.83973091701046,209.83973091701046,210.66003575001378,210.66003575001378,0.0,-11.32479335935534,-3.9117864503168676e-10,-2.409752397625198e-10,0.00011642939605268473,0.0
217.95327574992552,217.95327574992552,219.16303733293898,219.16303733293898,0.0,-21.420625339130396,-2.944581467545504e-7,-1.5966649158372093e-7,4.815425594341404e-5,0.0
226.01773004198913,226.01773004198913,226.98405191709753,0.0,226.98405191709753,-17.084727086395667,-0.00011622574632497162,-2.032607993385227e-5,0.0,-0.00030908767355691916
233.007075374946,233.007075374946,233.79404220799915,233.79404220799915,0.0,-6.945399011010648,-0.0002710950814073243,-0.0009085346408426176,0.0004607152990886467,0.0
240.79563137493096,240.79563137493096,241.61507116584107,241.61507116584107,0.0,-8.448103648347743,-0.00012047957824279365,-0.00015202414311943357,0.00020153966309743076,0.0
247.1067166669527,247.1067166669527,247.93506058398634,0.0,247.93506058398634,-7.872025708381315,-1.4769068167552746e-5,-5.868788292673344e-6,0.0,-0.0003290621831481082
255.0684128749417,255.0684128749417,256.4000899998937,0.0,256.4000899998937,-9.01502968726215,-7.959984053229618e-6,-1.984340691763009e-6,0.0,-0.00014757444193822157
260.9363464169437,260.9363464169437,261.7870862499112,0.0,261.7870862499112,-16.30063272106314,-6.610033409515381e-9,-1.0621654666920222e-9,0.0,-6.698400373469035e-5
267.57551829202566,267.57551829202566,268.0811030420009,0.0,268.0811030420009,-15.79235232909618,-4.1388908300632465e-8,-5.155044391358388e-9,0.0,-4.4740419765951885e-5
273.4808732919628,273.4808732919628,274.3440902499715,0.0,274.3440902499715,-11.3411476637466,-1.889824362066861e-5,-2.974142921274847e-6,0.0,-6.94912491207447e-5
279.5694710420212,279.5694710420212,280.40534308413044,0.0,280.40534308413044,-10.355239587621888,-9.628994176225092e-5,-1.473618683967004e-5,0.0,-5.752594268230841e-5
287.8785926250275,287.8785926250275,288.3860991669353,288.3860991669353,0.0,-19.88311912625044,-3.4358687791780085e-5,-7.730279015660813e-5,0.00037030390382702445,0.0
295.7999550839886,295.7999550839886,296.4591130000772,0.0,296.4591130000772,-6.773431953249795,-0.014121068626231192,-0.0036130032977199633,0.0,-0.00023575578316658248
302.5634695419576,302.5634695419576,303.16410179191735,303.16410179191735,0.0,-21.294721784665697,-0.00027833644114139133,-0.0004390180852809067,0.000245741259828681,0.0
311.18582462496124,311.18582462496124,312.10240208287723,312.10240208287723,0.0,-9.686478560653676,-0.06905070326797436,-0.07561164346897264,0.00012546951129184902,0.0
317.0756596670253,317.0756596670253,318.2681164171081,318.2681164171081,0.0,-10.202257403628032,-0.04861370094150885,-0.0546413553637386,0.00014287979300786272,0.0
